"ID Number","Start Day","Start Month","Start Year","End Day","End Month","End Year","Outcome","Settlement","Fatality Level","MaxDur","MinDur","HiAct","HostLev","Recip","SideA","SideB","Version"
1376,7,7,1975,16,11,1975,6,1,-9,133,133,18,4,-1,1,1,2.1
1377,5,7,1976,5,7,1976,8,3,2,1,1,18,4,-1,1,1,2.1
1378,1,3,1967,18,8,1967,5,3,2,171,171,18,4,-1,1,2,2.1
1379,9,8,1964,19,10,1969,5,3,4,1898,1898,19,4,-1,2,1,2.1
1380,27,1,1971,25,12,1971,5,3,3,333,333,18,4,-1,1,1,2.1
1381,18,9,1972,28,3,1973,5,1,2,192,192,19,4,-1,2,1,2.1
1382,14,7,1974,7,9,1975,5,3,0,421,421,18,4,-1,1,3,2.1
1384,10,7,1974,24,7,1974,8,3,0,15,15,19,4,0,1,1,2.1
1385,25,11,1969,-9,4,1971,5,3,0,522,493,19,4,-1,1,2,2.1
1386,20,1,1973,20,1,1973,5,3,0,1,1,14,3,-1,1,1,2.1
1387,-9,12,1961,-9,12,1961,5,3,0,31,1,14,3,0,1,1,2.1
1388,8,4,1963,17,4,1963,5,3,0,10,10,19,4,0,1,1,2.1
1389,26,5,1972,26,5,1972,5,3,1,1,1,18,4,-1,1,1,2.1
1390,24,12,1972,14,6,1973,7,3,0,173,173,19,4,0,1,1,2.1
1391,3,3,1971,12,4,1971,7,3,0,41,41,17,4,-1,1,1,2.1
1392,18,5,1966,7,8,1969,5,1,0,1178,1178,19,4,-1,1,1,2.1
1396,1,10,1974,20,11,1974,5,3,0,51,51,19,4,-1,2,1,2.1
1397,9,1,1973,14,6,1973,5,3,2,157,157,19,4,-1,2,1,2.1
1398,4,10,1971,7,10,1971,5,3,0,4,4,2,2,0,1,1,2.1
1399,23,3,1969,26,3,1969,5,3,0,4,4,9,3,-1,1,1,2.1
1400,6,4,1968,27,7,1968,5,3,0,113,113,2,2,0,1,1,2.1
1401,14,10,1966,4,11,1966,5,3,0,22,22,19,4,-1,1,1,2.1
1403,14,5,1968,18,5,1968,5,3,0,5,5,19,4,0,1,1,2.1
1404,15,12,1971,16,12,1971,5,3,0,2,2,14,3,-1,1,1,2.1
1406,1,3,1969,4,4,1969,5,3,0,35,35,16,4,0,1,1,2.1
1407,2,12,1963,1,1,1964,3,3,0,31,31,15,4,0,1,1,2.1
1408,29,10,1966,4,11,1966,7,1,0,7,7,17,4,-1,1,1,2.1
1409,10,3,1966,10,3,1966,5,3,0,1,1,2,2,0,1,1,2.1
1410,23,7,1962,23,7,1962,5,3,-9,1,1,18,4,-1,1,1,2.1
1411,-9,11,1974,3,6,1975,5,3,1,215,184,18,4,-1,1,1,2.1
1415,7,4,1975,7,4,1975,8,3,0,1,1,19,4,0,1,1,2.1
1417,-9,11,1961,-9,11,1961,7,3,0,30,1,17,4,-1,1,1,2.1
1418,7,12,1962,19,12,1962,5,3,0,13,13,13,3,0,1,1,2.1
1419,16,1,1965,16,4,1965,5,3,1,91,91,18,4,-1,1,1,2.1
1421,20,1,1961,14,9,1961,5,3,0,238,238,14,3,-1,1,1,2.1
1422,2,7,1967,3,7,1967,5,3,0,2,2,16,4,0,1,1,2.1
1423,14,8,1960,20,8,1960,5,3,0,7,7,19,4,-1,1,1,2.1
1425,16,11,1963,19,4,1964,5,1,3,156,156,19,4,-1,1,1,2.1
1426,29,12,1963,30,3,1964,5,1,-9,93,93,18,4,-1,1,1,2.1
1427,26,5,1974,28,5,1974,5,3,1,3,3,18,4,-1,1,1,2.1
1428,14,12,1975,4,1,1976,5,3,1,22,22,18,4,-1,1,1,2.1
1430,9,10,1975,27,11,1977,5,3,-9,781,781,20,4,-1,2,1,2.1
1435,18,4,1975,7,1,1979,1,2,6,1361,1361,22,5,-1,1,1,2.1
1441,-9,8,1975,30,8,1988,5,3,-9,4779,4720,18,4,-1,3,2,2.1
1446,3,2,1974,3,2,1974,5,3,0,1,1,2,2,0,1,1,2.1
1447,7,4,1971,17,12,1971,2,1,6,255,255,22,5,-1,1,1,2.1
1448,2,5,1954,20,11,1954,7,3,0,203,203,17,4,0,1,2,2.1
1449,16,6,1969,-9,9,1969,5,3,0,107,78,3,2,0,1,1,2.1
1450,-9,8,1975,27,7,1976,7,3,0,362,306,18,4,-1,1,1,2.1
1452,8,6,1956,4,10,1956,5,3,0,119,119,19,4,-1,2,2,2.1
1462,26,10,1968,18,12,1968,7,1,0,54,54,17,4,0,1,1,2.1
1463,1,12,1965,3,12,1965,7,1,0,3,3,17,4,-1,1,1,2.1
1466,-9,4,1962,5,10,1962,5,3,-9,188,155,18,4,-1,1,2,2.1
1467,4,3,1964,28,9,1964,5,3,2,209,209,18,4,-1,1,1,2.1
1469,19,4,1976,21,4,1976,5,3,1,3,3,18,4,-1,1,1,2.1
1472,15,2,1975,20,11,1975,5,3,1,279,279,19,4,-1,2,1,2.1
1477,24,2,1918,25,3,1918,3,2,0,30,30,7,3,-1,1,1,2.1
1480,26,6,1967,7,8,1970,5,1,6,1139,1139,22,5,-1,1,2,2.1
1481,24,11,1974,24,11,1974,7,3,0,1,1,17,4,0,1,1,2.1
1482,-9,2,1865,9,5,1866,5,3,6,463,428,22,5,-1,1,4,2.1
1486,4,12,1884,18,4,1885,5,1,2,136,136,18,4,-1,1,1,2.1
1488,-9,10,1885,-9,11,1885,5,3,0,61,2,8,3,0,3,1,2.1
1489,17,4,1874,3,12,1874,4,1,0,231,231,19,4,-1,1,1,2.1
1490,5,6,1894,30,3,1895,1,2,6,299,299,22,5,-1,1,2,2.1
1493,-9,5,1849,-9,7,1849,5,3,0,92,32,17,4,-1,1,1,2.1
1494,12,12,1854,13,6,1855,1,2,0,184,184,16,4,0,1,1,2.1
1495,-9,3,1856,-9,3,1856,6,1,0,31,1,8,3,0,1,1,2.1
1496,20,8,1857,-9,9,1857,7,1,0,42,13,17,4,0,1,1,2.1
1497,-9,2,1869,-9,2,1869,5,3,0,28,1,17,4,-1,1,1,2.1
1498,7,11,1846,6,2,1847,4,4,0,92,92,10,3,0,2,1,2.1
1500,20,8,1857,20,2,1858,1,2,0,185,185,16,4,0,1,1,2.1
1501,-9,5,1861,-9,7,1861,1,3,0,92,32,17,4,-1,1,1,2.1
1502,-9,2,1863,-9,12,1863,5,3,0,334,277,17,4,-1,1,1,2.1
1503,-9,8,1872,19,11,1872,5,3,0,111,63,8,3,0,1,1,2.1
1506,-9,8,1852,-9,11,1852,6,1,0,122,63,8,3,-1,2,2,2.1
1507,21,9,1843,30,4,1844,1,2,0,223,223,16,4,0,1,1,2.1
1508,15,3,1873,22,5,1873,5,3,-9,69,69,18,4,-1,1,1,2.1
1509,-9,9,1877,-9,12,1877,5,3,0,122,63,7,3,-1,1,1,2.1
1510,15,10,1878,26,11,1878,5,1,0,43,43,17,4,-1,1,1,2.1
1511,-9,5,1879,16,6,1879,6,1,0,47,2,16,4,0,1,1,2.1
1512,-9,12,1891,25,1,1892,4,1,0,56,2,2,2,0,1,1,2.1
1513,-9,10,1897,22,9,1898,3,1,0,357,306,13,3,-1,1,1,2.1
1515,1,3,1884,4,3,1884,4,2,0,4,4,10,3,0,1,1,2.1
1516,-9,3,1884,4,4,1884,4,2,0,35,2,15,4,0,1,1,2.1
1517,22,1,1883,15,3,1883,5,3,0,53,53,2,2,0,4,1,2.1
1518,8,11,1878,11,12,1883,1,2,6,1860,1860,22,5,-1,1,2,2.1
1519,-9,8,1863,6,12,1863,1,1,6,128,93,22,5,-1,1,1,2.1
1520,19,6,1862,31,7,1862,5,3,2,43,43,18,4,-1,1,1,2.1
1521,-9,11,1857,-9,11,1857,6,1,0,30,1,19,4,0,1,1,2.1
1522,25,6,1856,11,10,1856,4,3,0,109,109,8,3,0,1,1,2.1
1523,-9,3,1852,18,7,1852,5,3,0,140,93,10,3,0,2,1,2.1
1524,-9,2,1834,-9,8,1834,7,1,0,212,155,17,4,0,1,1,2.1
1525,20,8,1868,-9,8,1868,4,3,0,12,1,8,3,0,1,1,2.1
